Date,Cases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,1
2020-02-26,0
2020-02-27,7
2020-02-28,0
2020-02-29,10
2020-03-01,9
2020-03-02,15
2020-03-03,14
2020-03-04,34
2020-03-05,24
2020-03-06,100
2020-03-07,54
2020-03-08,69
2020-03-09,37
2020-03-10,117
2020-03-11,161
2020-03-12,0
2020-03-13,487
2020-03-14,220
2020-03-15,841
2020-03-16,0
2020-03-17,500
2020-03-18,328
2020-03-19,1047
2020-03-20,1219
2020-03-21,1281
2020-03-22,899
2020-03-23,1321
2020-03-24,1082
2020-03-25,1020
2020-03-26,914
2020-03-27,1117
2020-03-28,1148
2020-03-29,753
2020-03-30,1093
2020-03-31,683
2020-04-01,1163
2020-04-02,1059
2020-04-03,779
2020-04-04,899
2020-04-05,595
2020-04-06,557
2020-04-07,596
2020-04-08,1027
2020-04-09,771
2020-04-10,500
2020-04-11,556
2020-04-12,308
2020-04-13,273
2020-04-14,248
2020-04-15,400
2020-04-16,396
2020-04-17,346
2020-04-18,326
2020-04-19,336
2020-04-20,204
2020-04-21,119
2020-04-22,205
2020-04-23,228
2020-04-24,181
2020-04-25,217
2020-04-26,167
2020-04-27,103
2020-04-28,100
2020-04-29,143
2020-04-30,179
2020-05-01,119
2020-05-02,112
2020-05-03,88
2020-05-04,76
2020-05-05,28
2020-05-06,51
2020-05-07,66
2020-05-08,81
2020-05-09,44
2020-05-10,54
2020-05-11,39
2020-05-12,36
2020-05-13,33
2020-05-14,50
2020-05-15,51
2020-05-16,58
2020-05-17,15
2020-05-18,10
2020-05-19,21
2020-05-20,40
2020-05-21,36
2020-05-22,13
2020-05-23,18
2020-05-24,11
2020-05-25,10
2020-05-26,15
2020-05-27,15
2020-05-28,20
2020-05-29,32
2020-05-30,17
2020-05-31,17
2020-06-01,9
2020-06-02,3
2020-06-03,19
2020-06-04,20
2020-06-05,23
2020-06-06,20
2020-06-07,9
2020-06-08,7
2020-06-09,16
2020-06-10,23
2020-06-11,33
2020-06-12,19
2020-06-13,31
2020-06-14,23
2020-06-15,14
2020-06-16,23
2020-06-17,33
2020-06-18,13
2020-06-19,35
2020-06-20,8
2020-06-21,49
2020-06-22,18
2020-06-23,22
2020-06-24,44
2020-06-25,52
2020-06-26,58
2020-06-27,69
2020-06-28,62
2020-06-29,35
2020-06-30,62
2020-07-01,137
2020-07-02,116
2020-07-03,134
2020-07-04,97
2020-07-05,70
2020-07-06,47
2020-07-07,54
2020-07-08,129
2020-07-09,88
2020-07-10,104
2020-07-11,127
2020-07-12,66
2020-07-13,63
2020-07-14,70
2020-07-15,132
2020-07-16,142
2020-07-17,92
2020-07-18,110
2020-07-19,99
2020-07-20,43
2020-07-21,108
2020-07-22,141
2020-07-23,117
2020-07-24,154
2020-07-25,148
2020-07-26,110
2020-07-27,65
2020-07-28,132
2020-07-29,193
2020-07-30,220
2020-07-31,210
2020-08-01,180
2020-08-02,138
2020-08-03,66
2020-08-04,130
2020-08-05,181
2020-08-06,181
2020-08-07,161
2020-08-08,182
2020-08-09,152
2020-08-10,105
2020-08-11,187
2020-08-12,274
2020-08-13,234
2020-08-14,268
2020-08-15,253
2020-08-16,200
2020-08-17,128
2020-08-18,197
2020-08-19,311
2020-08-20,266
2020-08-21,306
2020-08-22,295
2020-08-23,276
2020-08-24,157
2020-08-25,202
2020-08-26,383
2020-08-27,361
2020-08-28,340
2020-08-29,376
2020-08-30,292
2020-08-31,163
2020-09-01,216
2020-09-02,370
2020-09-03,364
2020-09-04,405
2020-09-05,425
2020-09-06,444
2020-09-07,191
2020-09-08,245
2020-09-09,469
2020-09-10,405
2020-09-11,528
2020-09-12,465
2020-09-13,475
2020-09-14,257
2020-09-15,315
2020-09-16,514
2020-09-17,530
2020-09-18,488
2020-09-19,0
2020-09-20,0
2020-09-21,1095
2020-09-22,286
2020-09-23,437
2020-09-24,391
2020-09-25,372
2020-09-26,0
2020-09-27,0
2020-09-28,782
2020-09-29,225
2020-09-30,411
2020-10-01,550
2020-10-02,552
2020-10-03,0
2020-10-04,0
2020-10-05,1548
2020-10-06,700
2020-10-07,1077
2020-10-08,1172
2020-10-09,1487
2020-10-10,0
2020-10-11,0
2020-10-12,4068
2020-10-13,1445
2020-10-14,2823
2020-10-15,2613
2020-10-16,3105
2020-10-17,0
2020-10-18,0
2020-10-19,8737
2020-10-20,3008
2020-10-21,5596
2020-10-22,5256
2020-10-23,6634
2020-10-24,0
2020-10-25,0
2020-10-26,17440
2020-10-27,5949
2020-10-28,8616
2020-10-29,9386
2020-10-30,9207
2020-10-31,0
2020-11-01,0
2020-11-02,21926
2020-11-03,6126
2020-11-04,10073
2020-11-05,10128
2020-11-06,9409
2020-11-07,0
2020-11-08,0
2020-11-09,17309
